universe_id,true_omega_m,pred_omega_m,absolute_error,squared_error
LH_222,0.11020000278949738,0.29995664954185486,0.18975664675235748,0.03600758498669898
LH_262,0.2766000032424927,0.27213507890701294,0.004464924335479736,1.9935549321559165e-05
LH_330,0.4758000075817108,0.2995128631591797,0.17628714442253113,0.031077157288650348
LH_444,0.17579999566078186,0.29293692111968994,0.11713692545890808,0.013721059305965788
LH_203,0.4918000102043152,0.2774334251880646,0.2143665850162506,0.0459530327715294
LH_6,0.12020000070333481,0.3036711513996124,0.18347115069627762,0.03366166313781621
LH_472,0.3601999878883362,0.2905076742172241,0.06969231367111206,0.004857018584832673
LH_414,0.29820001125335693,0.2830312252044678,0.01516878604888916,0.00023009207019697442
LH_289,0.20739999413490295,0.3030335009098053,0.09563350677490234,0.009145767618065292
LH_269,0.3529999852180481,0.2884998321533203,0.06450015306472778,0.004160269745373313
LH_327,0.15060000121593475,0.2928907871246338,0.14229078590869904,0.020246667754515224
LH_311,0.10859999805688858,0.29562920331954956,0.18702920526266098,0.034979923621182574
LH_420,0.4625999927520752,0.28351789712905884,0.17908209562301636,0.032070396972731174
LH_105,0.2754000127315521,0.2884370982646942,0.01303708553314209,0.00016996559919846277
LH_247,0.19419999420642853,0.30627983808517456,0.11207984387874603,0.012561891403884085
LH_410,0.40779998898506165,0.298012375831604,0.10978761315345764,0.012053320001933265
LH_267,0.11940000206232071,0.2942411005496979,0.17484109848737717,0.030569409720272722
LH_175,0.38499999046325684,0.2873522639274597,0.09764772653579712,0.009535078497609817
LH_156,0.16699999570846558,0.29454144835472107,0.1275414526462555,0.016266822143117032
LH_496,0.27619999647140503,0.30577147006988525,0.029571473598480225,0.000874472050785613
LH_18,0.4578000009059906,0.2878521978855133,0.1699478030204773,0.02888225575148695
LH_428,0.4941999912261963,0.28930240869522095,0.20489758253097534,0.04198301932703785
LH_240,0.24379999935626984,0.2839708924293518,0.04017089307308197,0.001613700650288985
LH_135,0.10700000077486038,0.298811137676239,0.19181113690137863,0.036791512239399415
LH_244,0.18979999423027039,0.2943093776702881,0.1045093834400177,0.010922211227012646
LH_293,0.2978000044822693,0.29999110102653503,0.002191096544265747,4.800904066293299e-06
LH_220,0.35339999198913574,0.2953370213508606,0.058062970638275146,0.0033713085593412018
LH_149,0.10899999737739563,0.2924799919128418,0.18347999453544617,0.033664908394727355
LH_10,0.16019999980926514,0.2757418751716614,0.11554187536239624,0.013349924962259507
LH_404,0.29019999504089355,0.2839115262031555,0.006288468837738037,3.954484032320238e-05
LH_64,0.17739999294281006,0.2916296422481537,0.11422964930534363,0.013048412780421792
LH_72,0.2101999968290329,0.3023097515106201,0.09210975468158722,0.008484206907502179
LH_341,0.26339998841285706,0.2922503650188446,0.02885037660598755,0.0008323442303073136
LH_47,0.4189999997615814,0.2865728735923767,0.1324271261692047,0.017536943745434463
LH_22,0.1738000065088272,0.29553619027137756,0.12173618376255035,0.014819698437069428
LH_52,0.4138000011444092,0.28252941370010376,0.13127058744430542,0.017231967127973036
LH_229,0.11500000208616257,0.3006253242492676,0.185625322163105,0.034456760228156524
LH_374,0.3693999946117401,0.31090715527534485,0.058492839336395264,0.003421412253633349
LH_161,0.10419999808073044,0.3021545112133026,0.19795451313257217,0.03918598926955369
LH_3,0.23980000615119934,0.29267361760139465,0.05287361145019531,0.002795618787786225
LH_35,0.272599995136261,0.27474725246429443,0.0021472573280334473,4.610714032793339e-06
LH_193,0.38420000672340393,0.2934879660606384,0.0907120406627655,0.008228674321203222
LH_305,0.4569999873638153,0.28157979249954224,0.17542019486427307,0.030772244766219536
LH_449,0.41620001196861267,0.2886313199996948,0.12756869196891785,0.016273771170660645
LH_497,0.2770000100135803,0.2875902056694031,0.010590195655822754,0.00011215224402860713
LH_396,0.3578000068664551,0.268029123544693,0.08977088332176208,0.008058811492369422
LH_223,0.4406000077724457,0.2912476062774658,0.14935240149497986,0.022306139832317662
LH_463,0.3418000042438507,0.291340708732605,0.05045929551124573,0.0025461405034912232
LH_0,0.1462000012397766,0.2910333275794983,0.14483332633972168,0.020976692418628318
LH_83,0.3357999920845032,0.2741680443286896,0.0616319477558136,0.003798496984175337
LH_125,0.41019999980926514,0.30087411403656006,0.10932588577270508,0.011952149299986559
LH_359,0.24500000476837158,0.29177048802375793,0.04677048325538635,0.002187478103942375
LH_485,0.19820000231266022,0.26742395758628845,0.06922395527362823,0.004791955983725282
LH_486,0.46459999680519104,0.2962978482246399,0.16830214858055115,0.028325613216829915
LH_172,0.3901999890804291,0.2859373092651367,0.10426267981529236,0.010870706402266173
LH_69,0.241799995303154,0.293038010597229,0.05123801529407501,0.002625334211275865
LH_81,0.32339999079704285,0.29719626903533936,0.02620372176170349,0.0006866350341647731
LH_499,0.23819999396800995,0.29898175597190857,0.06078176200389862,0.003694422592298574
LH_436,0.4729999899864197,0.3048068583011627,0.16819313168525696,0.028288929546094188
LH_174,0.4302000105381012,0.27983585000038147,0.15036416053771973,0.02260938077421315
LH_170,0.35580000281333923,0.29086336493492126,0.06493663787841797,0.004216766938952787
LH_287,0.43059998750686646,0.3011969029903412,0.12940308451652527,0.01674515828239098
LH_274,0.2750000059604645,0.27911561727523804,0.00411561131477356,1.6938256494292148e-05
LH_194,0.41499999165534973,0.2956744134426117,0.11932557821273804,0.014238593615804263
LH_19,0.3061999976634979,0.2960224449634552,0.010177552700042725,0.00010358257896214695
LH_447,0.22059999406337738,0.27922213077545166,0.05862213671207428,0.003436554912689127
LH_461,0.4410000145435333,0.29722052812576294,0.14377948641777039,0.02067254071455782
LH_429,0.34540000557899475,0.30818408727645874,0.03721591830253601,0.0013850245751010348
LH_55,0.19020000100135803,0.29505455493927,0.10485455393791199,0.010994477481518494
LH_136,0.20340000092983246,0.27801886200904846,0.074618861079216,0.005567974428759337
LH_208,0.2937999963760376,0.29803887009620667,0.004238873720169067,1.796805041553995e-05
LH_393,0.2502000033855438,0.2891319990158081,0.03893199563026428,0.0015157002837549172
LH_44,0.2962000072002411,0.2987915277481079,0.0025915205478668213,6.7159787500159496e-06
LH_137,0.3709999918937683,0.31379568576812744,0.05720430612564087,0.0032723326393160335
LH_26,0.17980000376701355,0.2947002649307251,0.11490026116371155,0.01320207001548912
