universe_id,true_omega_m,pred_omega_m,absolute_error,squared_error
LH_272,0.2809999883174896,0.2321113795042038,0.04888860881328583,0.0023900960716984887
LH_228,0.4262000024318695,0.4881002902984619,0.06190028786659241,0.003831645637967007
LH_492,0.11299999803304672,0.13311704993247986,0.020117051899433136,0.00040469577712448634
LH_165,0.4214000105857849,0.3481510877609253,0.07324892282485962,0.0053654046950022405
LH_373,0.1534000039100647,0.3208337426185608,0.1674337387084961,0.028034056857904943
LH_421,0.17219999432563782,0.3024812638759613,0.1302812695503235,0.016973209195644046
LH_90,0.13300000131130219,0.16276848316192627,0.029768481850624084,0.0008861625116909355
LH_295,0.14900000393390656,0.1689193844795227,0.01991938054561615,0.00039678172132107115
LH_416,0.43380001187324524,0.3865708112716675,0.04722920060157776,0.002230597389464073
LH_226,0.16300000250339508,0.2567860186100006,0.09378601610660553,0.008795816817148472
LH_142,0.11779999732971191,0.21309514343738556,0.09529514610767365,0.009081164871682867
LH_391,0.21060000360012054,0.24410685896873474,0.0335068553686142,0.00112270935669323
LH_457,0.3790000081062317,0.29157060384750366,0.08742940425872803,0.0076439007290360905
LH_300,0.2614000141620636,0.39061081409454346,0.12921079993247986,0.016695430819191337
LH_44,0.2962000072002411,0.3268049359321594,0.030604928731918335,0.0009366616626858004
LH_188,0.28619998693466187,0.2480078935623169,0.03819209337234497,0.0014586359961619166
LH_282,0.4174000024795532,0.5120717287063599,0.09467172622680664,0.008962735746763428
LH_69,0.241799995303154,0.2863679528236389,0.044567957520484924,0.0019863028375477487
LH_401,0.45980000495910645,0.38301217555999756,0.07678782939910889,0.005896370743826651
LH_59,0.4781999886035919,0.32827314734458923,0.14992684125900269,0.02247805772990219
LH_16,0.16580000519752502,0.17283405363559723,0.007034048438072205,4.947783742914602e-05
LH_310,0.19220000505447388,0.3542746305465698,0.16207462549209595,0.026268184228403157
LH_124,0.39419999718666077,0.2754337787628174,0.11876621842384338,0.014105414638700076
LH_62,0.23899999260902405,0.2417668253183365,0.002766832709312439,7.655363241321211e-06
LH_106,0.3077999949455261,0.3564469516277313,0.0486469566822052,0.002366526394440349
LH_101,0.2574000060558319,0.3148084878921509,0.05740848183631897,0.003295733786750965
LH_279,0.40939998626708984,0.33132997155189514,0.0780700147151947,0.006094927197630717
LH_56,0.41659998893737793,0.26958370208740234,0.14701628684997559,0.021613788599154304
LH_304,0.19259999692440033,0.2314658910036087,0.038865894079208374,0.0015105577225762445
LH_15,0.1762000024318695,0.19629287719726562,0.020092874765396118,0.0004037236163378921
LH_266,0.24779999256134033,0.2658292055130005,0.018029212951660156,0.0003250525196563103
LH_181,0.387800008058548,0.5459194779396057,0.15811946988105774,0.025001766755466726
LH_235,0.26499998569488525,0.33455416560173035,0.06955417990684509,0.004837783942513774
LH_203,0.4918000102043152,0.4539792537689209,0.03782075643539429,0.0014304096173454184
LH_327,0.15060000121593475,0.16282394528388977,0.012223944067955017,0.00014942480857649265
LH_400,0.3781999945640564,0.555809736251831,0.17760974168777466,0.03154522034239804
LH_402,0.30300000309944153,0.23707450926303864,0.0659254938364029,0.004346170737573596
LH_116,0.1265999972820282,0.22104215621948242,0.09444215893745422,0.008919321384767365
LH_362,0.45579999685287476,0.5385545492172241,0.08275455236434937,0.006848315937023841
LH_13,0.26899999380111694,0.26649361848831177,0.0025063753128051758,6.281917208639243e-06
LH_96,0.35899999737739563,0.3831143379211426,0.024114340543746948,0.0005815014198597979
LH_394,0.2078000009059906,0.2314658910036087,0.023665890097618103,0.0005600743541125386
LH_99,0.2013999968767166,0.25165849924087524,0.05025850236415863,0.0025259170598881386
LH_461,0.4410000145435333,0.38956230878829956,0.051437705755233765,0.0026458375733620088
LH_398,0.13459999859333038,0.20860110223293304,0.07400110363960266,0.005476163339879214
LH_34,0.25380000472068787,0.29146328568458557,0.037663280963897705,0.0014185227329654992
LH_261,0.3057999908924103,0.3696467876434326,0.06384679675102234,0.004076413455366357
LH_283,0.45820000767707825,0.360721230506897,0.09747877717018127,0.009502111998593854
LH_14,0.3946000039577484,0.3740110397338867,0.020588964223861694,0.0004239054478114568
LH_313,0.1242000013589859,0.1633903831243515,0.0391903817653656,0.0015358860229151006
LH_25,0.32260000705718994,0.3605034053325653,0.037903398275375366,0.0014366676008217283
LH_210,0.4318000078201294,0.42223089933395386,0.009569108486175537,9.156783722019668e-05
LH_483,0.30379998683929443,0.31222760677337646,0.008427619934082031,7.102477775333682e-05
LH_489,0.2125999927520752,0.3152990937232971,0.10269910097122192,0.010547105340297236
LH_108,0.49939998984336853,0.3918815851211548,0.10751840472221375,0.011560207354009755
LH_392,0.30219998955726624,0.22748631238937378,0.07471367716789246,0.0055821335559480545
LH_60,0.42579999566078186,0.2844286859035492,0.14137130975723267,0.019985847222475428
LH_22,0.1738000065088272,0.20875975489616394,0.03495974838733673,0.0012221840073058932
LH_50,0.2590000033378601,0.336919903755188,0.07791990041732788,0.006071510881046294
LH_205,0.305400013923645,0.273943156003952,0.03145685791969299,0.0009895339101797518
LH_195,0.4697999954223633,0.3968700170516968,0.0729299783706665,0.005318781745145884
LH_33,0.47780001163482666,0.5049120187759399,0.02711200714111328,0.0007350609312197776
LH_118,0.1873999983072281,0.19607117772102356,0.008671179413795471,7.518935242623037e-05
LH_291,0.3118000030517578,0.35814332962036133,0.046343326568603516,0.0021477039174442325
LH_192,0.24740000069141388,0.3676643967628479,0.12026439607143402,0.014463524962426755
LH_190,0.31060001254081726,0.418028324842453,0.10742831230163574,0.011540842283977781
LH_0,0.1462000012397766,0.15052005648612976,0.004320055246353149,1.866287733154337e-05
LH_270,0.11659999936819077,0.16782552003860474,0.05122552067041397,0.002624053967955009
LH_88,0.48100000619888306,0.4908028244972229,0.009802818298339844,9.609524659026647e-05
LH_484,0.22380000352859497,0.2803049683570862,0.05650496482849121,0.0031928110502690288
LH_244,0.18979999423027039,0.19763557612895966,0.00783558189868927,6.139634369106695e-05
LH_428,0.4941999912261963,0.41104644536972046,0.08315354585647583,0.006914512188505029
LH_330,0.4758000075817108,0.5398112535476685,0.06401124596595764,0.0040974396101143284
LH_42,0.11219999939203262,0.13814392685890198,0.025943927466869354,0.0006730873724061781
LH_285,0.32100000977516174,0.33758074045181274,0.016580730676651,0.00027492062977163556
