artifact_path,artifact_type,likely_experiment_family,referenced_experiments,referenced_datasets,appears_current,appears_stale,mapping_confidence,notes
notebooks/validation/01_raw_dataset_integrity_validation.ipynb,notebook,raw_data_validation,,,unknown,false,medium,
notebooks/visualization/01_graph_sanity_checks.ipynb,notebook,graph_validation,,,unknown,false,medium,
notebooks/visualization/02_graph_models_20u_to_200u_scaling_results.ipynb,notebook,universe_scaling,evolvegcn_h_100u_seed123;evolvegcn_h_100u_seed123_final32;evolvegcn_h_100u_seed2025;evolvegcn_h_100u_seed42;evolvegcn_h_200u_seed123;evolvegcn_h_200u_seed123_final32;evolvegcn_h_200u_seed2025;evolvegcn_h_200u_seed2025_final32;evolvegcn_h_200u_seed42;evolvegcn_h_200u_seed42_final32;evolvegcn_h_20u_seed123;evolvegcn_h_20u_seed123_final32;evolvegcn_h_20u_seed2025;evolvegcn_h_20u_seed42;evolvegcn_h_50u_seed123;evolvegcn_h_50u_seed123_final32;evolvegcn_h_50u_seed2025;evolvegcn_h_50u_seed42;mean_baseline_100u_seed123;mean_baseline_100u_seed2025;mean_baseline_100u_seed42;mean_baseline_200u_seed123;mean_baseline_200u_seed2025;mean_baseline_200u_seed42;mean_baseline_20u_seed123;mean_baseline_20u_seed2025;mean_baseline_20u_seed42;mean_baseline_50u_seed123;mean_baseline_50u_seed2025;mean_baseline_50u_seed42;static_gcn_100u_seed123;static_gcn_100u_seed123_final32;static_gcn_100u_seed2025;static_gcn_100u_seed42;static_gcn_200u_seed123;static_gcn_200u_seed123_final32;static_gcn_200u_seed2025;static_gcn_200u_seed2025_final32;static_gcn_200u_seed42;static_gcn_200u_seed42_final32;static_gcn_20u_seed123;static_gcn_20u_seed123_final32;static_gcn_20u_seed2025;static_gcn_20u_seed42;static_gcn_50u_seed123;static_gcn_50u_seed123_final32;static_gcn_50u_seed2025;static_gcn_50u_seed42,,unknown,false,medium,
notebooks/visualization/03_graph_models_20u_to_500u_clean_results.ipynb,notebook,universe_scaling,evolvegcn_h_100u_seed123;evolvegcn_h_100u_seed123_final32;evolvegcn_h_100u_seed2025;evolvegcn_h_100u_seed42;evolvegcn_h_200u_seed123;evolvegcn_h_200u_seed123_final32;evolvegcn_h_200u_seed2025;evolvegcn_h_200u_seed2025_final32;evolvegcn_h_200u_seed42;evolvegcn_h_200u_seed42_final32;evolvegcn_h_20u_seed123;evolvegcn_h_20u_seed123_final32;evolvegcn_h_20u_seed2025;evolvegcn_h_20u_seed42;evolvegcn_h_500u_seed123_final32;evolvegcn_h_500u_seed2025_final32;evolvegcn_h_500u_seed42_final32;evolvegcn_h_50u_seed123;evolvegcn_h_50u_seed123_final32;evolvegcn_h_50u_seed2025;evolvegcn_h_50u_seed42;static_gcn_100u_seed123;static_gcn_100u_seed123_final32;static_gcn_100u_seed2025;static_gcn_100u_seed42;static_gcn_200u_seed123;static_gcn_200u_seed123_final32;static_gcn_200u_seed2025;static_gcn_200u_seed2025_final32;static_gcn_200u_seed42;static_gcn_200u_seed42_final32;static_gcn_20u_seed123;static_gcn_20u_seed123_final32;static_gcn_20u_seed2025;static_gcn_20u_seed42;static_gcn_500u_seed123_final32;static_gcn_500u_seed2025_final32;static_gcn_500u_seed42_final32;static_gcn_50u_seed123;static_gcn_50u_seed123_final32;static_gcn_50u_seed2025;static_gcn_50u_seed42,,unknown,false,medium,
notebooks/visualization/04_knn_ablation_500u_h64_results.ipynb,notebook,knn_ablation,evolvegcn_h_500u_k12_seed123;evolvegcn_h_500u_k12_seed2025;evolvegcn_h_500u_k12_seed42;evolvegcn_h_500u_k4_seed123;evolvegcn_h_500u_k4_seed2025;evolvegcn_h_500u_k4_seed42;evolvegcn_h_500u_k6_seed123;evolvegcn_h_500u_k6_seed2025;evolvegcn_h_500u_k6_seed42;evolvegcn_h_500u_k8_h64_seed123;evolvegcn_h_500u_k8_h64_seed2025;evolvegcn_h_500u_k8_h64_seed42;static_gcn_500u_k12_seed123;static_gcn_500u_k12_seed2025;static_gcn_500u_k12_seed42;static_gcn_500u_k4_seed123;static_gcn_500u_k4_seed2025;static_gcn_500u_k4_seed42;static_gcn_500u_k6_seed123;static_gcn_500u_k6_seed2025;static_gcn_500u_k6_seed42;static_gcn_500u_k8_h64_seed123;static_gcn_500u_k8_h64_seed2025;static_gcn_500u_k8_h64_seed42,,unknown,false,medium,
notebooks/visualization/05_evolvegcn_h_diagnostic_investigation.ipynb,notebook,prediction_collapse_diagnostic,evolvegcn_h_500u_top500_h32_seed42,,unknown,false,medium,
notebooks/visualization/06_normalization_ablation_top500.ipynb,notebook,normalization_ablation,,,unknown,false,medium,
notebooks/visualization/07_evolvegcn_500u_top500_vs_750u_top1000_results.ipynb,notebook,top_n_scaling,,,unknown,false,medium,
notebooks/visualization/08_evolvegcn_750u_top1000_head_ablation_results.ipynb,notebook,head_ablation,,,unknown,false,medium,
notebooks/visualization/09_evolvegcn_750u_top1000_mean_vs_meanmax_pooling_results.ipynb,notebook,graph_pooling_ablation,,,unknown,false,medium,
